dist,idx_problem,n_segments,displace_func,reoptm_standard_form,reoptm_ldr,reoptm_pwldr_uniform,reoptm_pwldr_optimize,reoptm_eev,dr_ldr,dr_pwldr_uniform,dr_pwldr_optimize,obj_value_ldr,obj_value_pwldr_uniform,obj_value_pwldr_optimize,obj_value_eev,obj_value_standard_form,ws,opt_time
"Normal 50,5 - 10,90",4,5,black_box,22163.8551496074,31949.959706107467,23690.444706943606,22168.710283127864,22175.440793958016,31995.83012995976,23763.235220485814,22888.908345179105,31994.939884762083,23765.037933545816,22885.655359068947,21621.2477858386,22080.99967216551,21621.242760737143,58.83500003814697
"Normal 50,5 - 10,90",4,5,ls_independent,22163.8551496074,31949.959706107467,23690.444706943606,22193.469199635972,22175.440793958016,31995.83012995976,23763.235220485814,22855.02355465087,31994.939884762083,23765.037933545816,22849.98202911096,21621.2477858386,22080.99967216551,21621.242760737143,19.555000066757202
"Normal 50,5 - 10,90",4,5,ls_dependent,22163.8551496074,31949.959706107467,23690.444706943606,22193.469199635976,22175.440793958016,31995.83012995976,23763.235220485814,22855.023554650914,31994.939884762083,23765.037933545816,22849.98202911101,21621.2477858386,22080.99967216551,21621.242760737143,14.687000036239624
"Normal 50,5 - 10,90",4,6,black_box,22163.8551496074,31949.959706107467,22175.440793958016,22188.690334701656,22175.440793958016,31995.83012995976,22875.852579595863,22891.427700059685,31994.939884762083,22871.42610892817,22883.54537121132,21621.2477858386,22080.99967216551,21621.242760737143,79.34699988365173
"Normal 50,5 - 10,90",4,6,ls_independent,22163.8551496074,31949.959706107467,22175.440793958016,22198.879629453848,22175.440793958016,31995.83012995976,22875.852579595863,22853.117102866272,31994.939884762083,22871.42610892817,22848.147861301295,21621.2477858386,22080.99967216551,21621.242760737143,36.57299995422363
"Normal 50,5 - 10,90",4,6,ls_dependent,22163.8551496074,31949.959706107467,22175.440793958016,22198.879629453844,22175.440793958016,31995.83012995976,22875.852579595863,22853.11710286629,31994.939884762083,22871.42610892817,22848.14786130133,21621.2477858386,22080.99967216551,21621.242760737143,22.638999938964844
"Normal 50,5 - 10,90",4,7,black_box,22163.8551496074,31949.959706107467,23103.082103713143,22172.858064661104,22175.440793958016,31995.83012995976,23299.73723306776,22893.001503103547,31994.939884762083,23299.029343135408,22885.963664247043,21621.2477858386,22080.99967216551,21621.242760737143,103.82800006866455
"Normal 50,5 - 10,90",4,7,ls_independent,22163.8551496074,31949.959706107467,23103.082103713143,22197.558467852858,22175.440793958016,31995.83012995976,23299.73723306776,22842.214315670477,31994.939884762083,23299.029343135408,22836.885384943987,21621.2477858386,22080.99967216551,21621.242760737143,45.329999923706055
"Normal 50,5 - 10,90",4,7,ls_dependent,22163.8551496074,31949.959706107467,23103.082103713143,22197.558467852847,22175.440793958016,31995.83012995976,23299.73723306776,22842.214315670473,31994.939884762083,23299.029343135408,22836.88538493093,21621.2477858386,22080.99967216551,21621.242760737143,33.63900017738342
"Normal 50,5 - 10,90",4,8,black_box,22163.8551496074,31949.959706107467,22175.440793958016,22194.549120451426,22175.440793958016,31995.83012995976,22858.191762578474,22862.145348533006,31994.939884762083,22853.128553826657,22856.363388203434,21621.2477858386,22080.99967216551,21621.242760737143,131.3289999961853
