dist,n_clients,n_products,n_segments,displace_func,uncertaint_type,rp_ldr,rp_pwldr_uniform,rp_pwldr,eev_ldr,eev_pwldr_uniform,eev_pwldr,ws,opt_time
"Normal 50,5 - 10,90",5,5,4,ls_dependent,demand,14368.706445883823,13623.017212638339,13370.055705222847,14360.968562838862,13621.110589419413,13367.214245805188,13103.673443741618,7.573999881744385
"Normal 50,5 - 10,90",5,5,5,black_box,demand,14368.706445883823,13387.90704309761,13381.476844729548,14360.968562838862,13381.596058130766,13379.711979453325,13103.673443741618,62.49900007247925
"Normal 50,5 - 10,90",5,5,5,ls_independent,demand,14368.706445883823,13387.90704309761,13373.145670207796,14360.968562838862,13381.596058130766,13369.8630499663,13103.673443741618,20.30400013923645
"Normal 50,5 - 10,90",5,5,5,ls_dependent,demand,14368.706445883823,13387.90704309761,13373.145670207796,14360.968562838862,13381.596058130766,13369.8630499663,13103.673443741618,15.309000015258789
"Normal 50,5 - 35,65",2,5,2,black_box,demand,4987.074593749219,4943.423616478024,4883.081945904815,4976.527860942062,4930.164972012865,4869.892476088285,4766.839846313783,1.315999984741211
"Normal 50,5 - 35,65",2,5,2,ls_independent,demand,4987.074593749219,4943.423616478024,4881.741291721218,4976.527860942062,4930.164972012865,4869.252733679975,4766.839846313783,0.09900021553039551
"Normal 50,5 - 35,65",2,5,2,ls_dependent,demand,4987.074593749219,4943.423616478024,4881.741291721218,4976.527860942062,4930.164972012865,4869.252733679975,4766.839846313783,0.10600018501281738
"Normal 50,5 - 35,65",2,5,3,black_box,demand,4987.074593749219,4881.796855586463,4881.910658525176,4976.527860942062,4869.358510463227,4868.934172887202,4766.839846313783,2.015000104904175
"Normal 50,5 - 35,65",2,5,3,ls_independent,demand,4987.074593749219,4881.796855586463,4881.727195751017,4976.527860942062,4869.358510463227,4868.812945543917,4766.839846313783,0.14499998092651367
"Normal 50,5 - 35,65",2,5,3,ls_dependent,demand,4987.074593749219,4881.796855586463,4881.727195751015,4976.527860942062,4869.358510463227,4868.812945543911,4766.839846313783,0.1100001335144043
"Normal 50,5 - 35,65",2,5,4,black_box,demand,4987.074593749219,4894.247649659919,4881.834201058806,4976.527860942062,4882.714727059662,4869.173943290385,4766.839846313783,3.127000093460083
"Normal 50,5 - 35,65",2,5,4,ls_independent,demand,4987.074593749219,4894.247649659919,4881.709745368598,4976.527860942062,4882.714727059662,4868.854455432681,4766.839846313783,0.3020000457763672
"Normal 50,5 - 35,65",2,5,4,ls_dependent,demand,4987.074593749219,4894.247649659919,4881.709745368598,4976.527860942062,4882.714727059662,4868.854455432681,4766.839846313783,0.2390000820159912
"Normal 50,5 - 35,65",2,5,5,black_box,demand,4987.074593749219,4889.403809421311,4881.78199561724,4976.527860942062,4876.369531842203,4869.332088670388,4766.839846313783,4.132999897003174
"Normal 50,5 - 35,65",2,5,5,ls_independent,demand,4987.074593749219,4889.403809421311,4881.704959186443,4976.527860942062,4876.369531842203,4868.939901766219,4766.839846313783,0.5090000629425049
"Normal 50,5 - 35,65",2,5,5,ls_dependent,demand,4987.074593749219,4889.403809421311,4881.704959186443,4976.527860942062,4876.369531842203,4868.939901766219,4766.839846313783,0.4010000228881836
"Normal 50,5 - 35,65",3,5,2,black_box,demand,8001.1429786683575,7963.872156935434,7850.984632682877,8009.324579373581,7976.406566947505,7861.087201361838,7696.900179161182,3.0119998455047607
"Normal 50,5 - 35,65",3,5,2,ls_independent,demand,8001.1429786683575,7963.872156935434,7848.289785000666,8009.324579373581,7976.406566947505,7857.835886399358,7696.900179161182,0.3449997901916504
"Normal 50,5 - 35,65",3,5,2,ls_dependent,demand,8001.1429786683575,7963.872156935434,7848.2897850006675,8009.324579373581,7976.406566947505,7857.835886399361,7696.900179161182,0.17400002479553223
"Normal 50,5 - 35,65",3,5,3,black_box,demand,8001.1429786683575,7848.291492948869,7848.46396387389,8009.324579373581,7857.913217867862,7857.819049990942,7696.900179161182,5.150000095367432
"Normal 50,5 - 35,65",3,5,3,ls_independent,demand,8001.1429786683575,7848.291492948869,7848.252198739647,8009.324579373581,7857.913217867862,7857.683479091169,7696.900179161182,0.5870001316070557
"Normal 50,5 - 35,65",3,5,3,ls_dependent,demand,8001.1429786683575,7848.291492948869,7848.252198739654,8009.324579373581,7857.913217867862,7857.683479091176,7696.900179161182,0.4650001525878906
"Normal 50,5 - 35,65",3,5,4,black_box,demand,8001.1429786683575,7862.069114502546,7848.038712802507,8009.324579373581,7870.85876480224,7857.759576473614,7696.900179161182,8.432999849319458
"Normal 50,5 - 35,65",3,5,4,ls_independent,demand,8001.1429786683575,7862.069114502546,7847.938792592381,8009.324579373581,7870.85876480224,7857.492030734271,7696.900179161182,1.2290000915527344
"Normal 50,5 - 35,65",3,5,4,ls_dependent,demand,8001.1429786683575,7862.069114502546,7847.938792592381,8009.324579373581,7870.85876480224,7857.492030734271,7696.900179161182,0.9569997787475586
"Normal 50,5 - 35,65",3,5,5,black_box,demand,8001.1429786683575,7865.884269156826,7848.573122663403,8009.324579373581,7876.408879561791,7858.239321706391,7696.900179161182,12.840999841690063
"Normal 50,5 - 35,65",3,5,5,ls_independent,demand,8001.1429786683575,7865.884269156826,7847.493060344695,8009.324579373581,7876.408879561791,7857.116585836796,7696.900179161182,3.056999921798706
"Normal 50,5 - 35,65",3,5,5,ls_dependent,demand,8001.1429786683575,7865.884269156826,7847.493060344695,8009.324579373581,7876.408879561791,7857.116585836796,7696.900179161182,1.7960000038146973
"Normal 50,5 - 35,65",4,5,2,black_box,demand,10338.60853316398,10316.880514678513,10199.733816688531,10336.336523375508,10310.988510354455,10196.424225319268,9992.939736126631,5.650000095367432
"Normal 50,5 - 35,65",4,5,2,ls_independent,demand,10338.60853316398,10316.880514678513,10179.861081184577,10336.336523375508,10310.988510354455,10176.557126593903,9992.939736126631,1.2020001411437988
"Normal 50,5 - 35,65",4,5,2,ls_dependent,demand,10338.60853316398,10316.880514678513,10179.861081184577,10336.336523375508,10310.988510354455,10176.557126593903,9992.939736126631,0.47099995613098145
"Normal 50,5 - 35,65",4,5,3,black_box,demand,10338.60853316398,10182.886517578285,10181.90364313975,10336.336523375508,10179.864501601975,10178.767354428246,9992.939736126631,10.772000074386597
"Normal 50,5 - 35,65",4,5,3,ls_independent,demand,10338.60853316398,10182.886517578285,10179.789834265399,10336.336523375508,10179.864501601975,10176.499896190726,9992.939736126631,2.2760000228881836
"Normal 50,5 - 35,65",4,5,3,ls_dependent,demand,10338.60853316398,10182.886517578285,10179.789834265399,10336.336523375508,10179.864501601975,10176.499896190726,9992.939736126631,1.2630000114440918
"Normal 50,5 - 35,65",4,5,4,black_box,demand,10338.60853316398,10186.203083934277,10181.456949794323,10336.336523375508,10183.06838167819,10177.468321376444,9992.939736126631,17.76199984550476
"Normal 50,5 - 35,65",4,5,4,ls_independent,demand,10338.60853316398,10186.203083934277,10177.407055624848,10336.336523375508,10183.06838167819,10173.956032358048,9992.939736126631,4.437999963760376
"Normal 50,5 - 35,65",4,5,4,ls_dependent,demand,10338.60853316398,10186.203083934277,10177.407055624848,10336.336523375508,10183.06838167819,10173.956032358048,9992.939736126631,2.7680001258850098
"Normal 50,5 - 35,65",4,5,5,black_box,demand,10338.60853316398,10202.799445289476,10180.751807701456,10336.336523375508,10199.074231481667,10176.986532999104,9992.939736126631,23.16700005531311
"Normal 50,5 - 35,65",4,5,5,ls_independent,demand,10338.60853316398,10202.799445289476,10177.418000827143,10336.336523375508,10199.074231481667,10173.992798228615,9992.939736126631,11.351999998092651
"Normal 50,5 - 35,65",4,5,5,ls_dependent,demand,10338.60853316398,10202.799445289476,10177.415759833973,10336.336523375508,10199.074231481667,10173.970600311695,9992.939736126631,8.355000019073486
"Normal 50,5 - 35,65",5,5,2,black_box,demand,12978.09309629982,12978.093096299819,12811.448856743436,12980.869915145138,12980.869915145138,12819.189594129068,12529.009261922984,10.787000179290771
"Normal 50,5 - 35,65",5,5,2,ls_independent,demand,12978.09309629982,12978.093096299819,12774.175133314142,12980.869915145138,12980.869915145138,12780.253982494853,12529.009261922984,3.506999969482422
"Normal 50,5 - 35,65",5,5,2,ls_dependent,demand,12978.09309629982,12978.093096299819,12774.099638369391,12980.869915145138,12980.869915145138,12780.263458424277,12529.009261922984,1.9609999656677246
"Normal 50,5 - 35,65",5,5,3,black_box,demand,12978.09309629982,12773.975017270477,12784.436084932704,12980.869915145138,12780.7214533777,12790.646525744787,12529.009261922984,26.19700002670288
"Normal 50,5 - 35,65",5,5,3,ls_independent,demand,12978.09309629982,12773.975017270477,12771.25238716694,12980.869915145138,12780.7214533777,12777.406961631868,12529.009261922984,14.467999935150146
"Normal 50,5 - 35,65",5,5,3,ls_dependent,demand,12978.09309629982,12773.975017270477,12771.252387166945,12980.869915145138,12780.7214533777,12777.406961631874,12529.009261922984,3.3320000171661377
"Normal 50,5 - 35,65",5,5,4,black_box,demand,12978.09309629982,12784.638223695567,12774.478406971268,12980.869915145138,12789.04702742997,12779.455781432076,12529.009261922984,33.46399998664856
"Normal 50,5 - 35,65",5,5,4,ls_independent,demand,12978.09309629982,12784.638223695567,12771.133242865875,12980.869915145138,12789.04702742997,12777.200801221827,12529.009261922984,12.133999824523926
"Normal 50,5 - 35,65",5,5,4,ls_dependent,demand,12978.09309629982,12784.638223695567,12771.133242865875,12980.869915145138,12789.04702742997,12777.200801221827,12529.009261922984,6.164000034332275
"Normal 50,5 - 35,65",5,5,5,black_box,demand,12978.09309629982,12812.112536617062,12771.36495663045,12980.869915145138,12815.523650484558,12777.73461056752,12529.009261922984,52.15000009536743
"Normal 50,5 - 35,65",5,5,5,ls_independent,demand,12978.09309629982,12812.112536617062,12771.13240542017,12980.869915145138,12815.523650484558,12777.185050104841,12529.009261922984,14.566999912261963
"Normal 50,5 - 35,65",5,5,5,ls_dependent,demand,12978.09309629982,12812.112536617062,12771.13240542017,12980.869915145138,12815.523650484558,12777.185050104841,12529.009261922984,11.366000175476074
