dist,n_clients,n_segments,displace_func,PI,sum_model,sum_pi
"Normal 50,20 - 35,65",5,10,black_box,1.3572866017793197,8.2434762273351345e6,3.497019081647866e6
"Normal 50,20 - 35,65",10,2,black_box,2.8592490607008463,2.8605338244488258e7,7.41215137830298e6
"Normal 50,20 - 35,65",10,5,black_box,3.1656721138322026,3.087659230009965e7,7.41215137830298e6
"Normal 50,20 - 35,65",10,10,black_box,3.1202838459068674,3.054016758743809e7,7.41215137830298e6
"Unif 10,90",2,2,ls_independent,1.4657763757403715,3.451381993551904e6,1.3997141133755876e6
"Unif 10,90",2,5,ls_independent,1.4657763757403715,3.451381993551904e6,1.3997141133755876e6
"Unif 10,90",2,10,ls_independent,1.4657763757403715,3.451381993551904e6,1.3997141133755876e6
"Unif 10,90",5,2,ls_independent,5.301609630571153,2.4391800781507462e7,3.8707254513473706e6
"Unif 10,90",5,5,ls_independent,5.301609630571153,2.4391800781507462e7,3.8707254513473706e6
"Unif 10,90",5,10,ls_independent,5.301609630571153,2.4391800781507462e7,3.8707254513473706e6
"Unif 10,90",10,2,ls_independent,12.323520484916655,9.145003338576847e7,6.8638040140590165e6
"Unif 10,90",10,5,ls_independent,12.323520484916655,9.145003338576847e7,6.8638040140590165e6
"Unif 10,90",10,10,ls_independent,12.323520484916655,9.145003338576847e7,6.8638040140590165e6
"Unif 35,65",2,2,ls_independent,0.4238041128569931,1.8019935128567526e6,1.2656189826849762e6
"Unif 35,65",2,5,ls_independent,0.4238041128569931,1.8019935128567526e6,1.2656189826849762e6
"Unif 35,65",2,10,ls_independent,0.4238041128569931,1.8019935128567526e6,1.2656189826849762e6
"Unif 35,65",5,2,ls_independent,1.7688647440648275,9.330149710099023e6,3.3696661168078263e6
"Unif 35,65",5,5,ls_independent,1.7688647440648275,9.330149710099023e6,3.3696661168078263e6
"Unif 35,65",5,10,ls_independent,1.7688647440648275,9.330149710099023e6,3.3696661168078263e6
"Unif 35,65",10,2,ls_independent,3.705447524846699,3.2738785532917026e7,6.957634817951485e6
"Unif 35,65",10,5,ls_independent,3.705447524846699,3.2738785532917026e7,6.957634817951485e6
"Unif 35,65",10,10,ls_independent,3.705447524846699,3.2738785532917026e7,6.957634817951485e6
"Normal 50,5 - 10,90",2,2,ls_independent,1.1161959147592657,2.789073997932745e6,1.3179658738023906e6
