dist,n_clients,n_segments,displace_func,rp_ldr,rp_pwldr_uniform,rp_pwldr,eev_ldr,eev_pwldr_uniform,eev_pwldr,ws,opt_time
"Normal 50,5 - 10,90",5,4,ls_independent,10522.764135266236,13560.832864499456,13599.385493525459,10518.304765048826,13555.74687020883,13594.853141045696,14062.91614097484,29.0
"Normal 50,5 - 10,90",5,5,black_box,10522.764135266236,13330.86836904105,13547.145379229092,10518.304765048826,13327.263824020294,13536.690683183768,14062.91614097484,111.92199993133545
"Normal 50,5 - 10,90",5,5,ls_independent,10522.764135266236,13330.86836904105,13600.451302106636,10518.304765048826,13327.263824020294,13594.968496084897,14062.91614097484,71.34299993515015
"Normal 50,5 - 35,65",2,2,black_box,6136.565552570122,6559.303376205325,6562.89599603834,6139.136740243057,6566.710257788941,6570.348309155624,6757.7197675748785,2.1489999294281006
"Normal 50,5 - 35,65",2,2,ls_independent,6136.565552570122,6559.303376205325,6563.31178391304,6139.136740243057,6566.710257788941,6570.481307312028,6757.7197675748785,0.1809999942779541
"Normal 50,5 - 35,65",2,3,black_box,6136.565552570122,6508.759527733395,6563.263743278844,6139.136740243057,6513.883514604624,6570.413353769461,6757.7197675748785,3.250999927520752
"Normal 50,5 - 35,65",2,3,ls_independent,6136.565552570122,6508.759527733395,6563.359366128147,6139.136740243057,6513.883514604624,6570.579444024196,6757.7197675748785,0.31599998474121094
"Normal 50,5 - 35,65",2,4,black_box,6136.565552570122,6559.303376205324,6562.808301849026,6139.136740243057,6566.710257788941,6569.842301769687,6757.7197675748785,4.650000095367432
"Normal 50,5 - 35,65",2,4,ls_independent,6136.565552570122,6559.303376205324,6563.466762520969,6139.136740243057,6566.710257788941,6570.723029051288,6757.7197675748785,0.7360000610351562
"Normal 50,5 - 35,65",2,5,black_box,6136.565552570122,6549.196041856536,6563.255527107863,6139.136740243057,6555.860125722525,6570.4019271205025,6757.7197675748785,6.507000207901001
"Normal 50,5 - 35,65",2,5,ls_independent,6136.565552570122,6549.196041856536,6563.478229919042,6139.136740243057,6555.860125722525,6570.779758853166,6757.7197675748785,1.4230000972747803
