dist,n_nodes,n_edges,n_segments,displace_func,rp_ldr,rp_pwldr,eev_ldr,eev_pwldr,ws,opt_time
"Normal 50,5 - 35,65",10,30,4,black_box,-5012.166711558282,0.0,-5028.146031124681,0.0,-204.14306803225963,99.87399983406067
"Unif 10,90",5,15,3,local_search_independent,-5266.666666666667,0.0,-5281.808860830644,0.0,-172.33559397781767,1.620999813079834
"Unif 10,90",5,15,4,local_search_independent,-5266.666666666667,0.0,-5281.808860830644,0.0,-172.33559397781767,5.2179999351501465
"Unif 10,90",10,30,3,local_search_independent,-9016.666666666668,0.0,-9009.145440513843,0.0,-232.78894430770708,13.442999839782715
"Unif 10,90",10,30,4,local_search_independent,-9016.666666666668,0.0,-9009.145440513843,0.0,-232.78894430770708,52.40599989891052
"Normal 50,5 - 10,90",5,15,3,local_search_independent,-5012.499999999999,0.0,-5031.392264055366,0.0,-105.90416370631105,3.635999917984009
"Normal 50,5 - 10,90",5,15,4,local_search_independent,-5012.499999999999,0.0,-5031.392264055366,0.0,-105.90416370631105,13.136000156402588
"Normal 50,5 - 10,90",10,30,3,local_search_independent,-7500.0,0.0,-7462.302618762774,0.0,-180.0023090257415,29.87999987602234
"Normal 50,5 - 10,90",10,30,4,local_search_independent,-7500.0,0.0,-7462.302618762774,0.0,-180.0023090257415,112.10199999809265
"Normal 50,5 - 35,65",5,15,3,local_search_independent,-3762.166711558282,0.0,-3747.796419571001,0.0,-101.32095035634917,3.822999954223633
"Normal 50,5 - 35,65",5,15,4,local_search_independent,-3762.166711558282,0.0,-3747.796419571001,0.0,-101.32095035634917,13.192999839782715
"Normal 50,5 - 35,65",10,30,3,local_search_independent,-6262.166711558282,0.0,-6277.686427946596,0.0,-116.81591191408663,29.151000022888184
"Normal 50,5 - 35,65",10,30,4,local_search_independent,-6262.166711558282,0.0,-6277.686427946596,0.0,-116.81591191408663,109.53800010681152
